"INDEX","SSR"
"1",12,0.00685359493554858
"2",10,0.0101129852382579
"3",25,0.0101133023490067
"4",8,0.0101133042122932
"5",17,0.0103602591905508
"6",26,0.0107047524067199
"7",7,0.0107050293428115
"8",11,0.0129390625
"9",42,0.0174892007652279
"10",23,0.0174910457155401
"11",31,0.017617566357588
"12",41,0.0177515665263244
"13",37,0.0177518088067051
"14",24,0.0178473080730732
"15",9,0.0260541200361627
"16",3,0.0260541666666666
"17",39,0.0260541666666666
"18",5,0.0260541666666666
"19",20,0.0260541666666666
"20",27,0.0260541666666666
"21",6,0.0260541666666667
"22",43,0.0260541666666667
"23",44,0.0260541666666667
"24",4,0.0260541666666667
"25",15,0.0260541666666667
"26",33,0.0260541666666667
"27",34,0.0260541666666667
"28",48,0.0260541666666667
"29",22,0.0260541666666667
"30",1,0.0260541666666667
"31",13,0.0260541666666667
"32",14,0.0260541666666667
"33",19,0.0260541666666667
"34",35,0.0260541666666667
"35",40,0.0260541666666667
"36",45,0.0260541666666667
"37",46,0.0260541666666667
"38",16,0.0260541666666667
"39",47,0.0260541666666667
"40",2,0.0260541666666667
"41",38,0.0260541666666667
"42",18,0.0260541666666667
"43",36,0.0260541666666667
"44",21,0.0260543215840682
"45",29,0.0260543215840682
"46",30,0.0260543668667829
"47",28,0.0260543668667829
"48",32,0.0260543668667829
