Outgroup,A,B,f3
YRI,ASW,ASW,122
YRI,ASW,CEU,83
YRI,ASW,CHB,83
YRI,ASW,GIH,83
YRI,ASW,IBS,83
YRI,ASW,ITU,83
YRI,ASW,JPT,83
YRI,ASW,MXL,83
YRI,ASW,PUR,83
YRI,CEU,CEU,377
YRI,CEU,CHB,294
YRI,CEU,GIH,294
YRI,CEU,IBS,338
YRI,CEU,ITU,294
YRI,CEU,JPT,294
YRI,CEU,MXL,320.84
YRI,CEU,PUR,311.6
YRI,CHB,CHB,464
YRI,CHB,GIH,335
YRI,CHB,IBS,294
YRI,CHB,ITU,335
YRI,CHB,JPT,427
YRI,CHB,MXL,322.47
YRI,CHB,PUR,337.8
YRI,GIH,GIH,417
YRI,GIH,IBS,294
YRI,GIH,ITU,366
YRI,GIH,JPT,335
YRI,GIH,MXL,309.99
YRI,GIH,PUR,318.6
YRI,IBS,IBS,414
YRI,IBS,ITU,294
YRI,IBS,JPT,294
YRI,IBS,MXL,337.92
YRI,IBS,PUR,330
YRI,ITU,ITU,397
YRI,ITU,JPT,335
YRI,ITU,MXL,309.99
YRI,ITU,PUR,318.6
YRI,JPT,JPT,466
YRI,JPT,MXL,322.47
YRI,JPT,PUR,337.8
YRI,MXL,MXL,364.741
YRI,MXL,PUR,338.946
YRI,PUR,PUR,371.52
